1562349600;15.2579166667;11.3808333333
1562353200;17.192173913;12.2004347826
1562356800;16.0266666667;11.5529166667
1562360400;13.282173913;10.3930434783
1562364000;11.3191666667;9.02375
1562367600;10.8752173913;8.70913043478
1562371200;10.1708695652;8.21130434783
1562374800;12.4558333333;9.88041666667
1562378400;14.7165217391;11.1839130435
1562382000;13.49125;10.9558333333
1562385600;14.9483333333;11.5620833333
1562389200;12.3386956522;10.3795652174
1562392800;9.69043478261;7.92
1562396400;7.11708333333;5.82416666667
1562400000;6.93347826087;5.79608695652
1562403600;5.81739130435;4.77
1562407200;5.10173913043;4.39086956522
1562410800;4.9996;4.1276
1562414400;4.84083333333;3.74458333333
1562418000;4.93625;4.24125
1562421600;5.37791666667;4.39416666667
1562425200;5.5488;4.6392
1562428800;7.10041666667;5.79875
1562432400;9.97791666667;8.51708333333
1562436000;10.6854545455;9.07045454545
1562439600;10.3925;8.57791666667
1562443200;11.4941666667;9.67875
1562446800;8.98291666667;7.57833333333
1562450400;10.19875;7.74125
1562454000;8.9932;7.5016
1562457600;9.72333333333;7.82333333333
1562461200;6.86375;5.34583333333
1562464800;6.87083333333;5.29583333333
1562468400;8.97916666667;6.8275
1562472000;12.1048;9.2436
1562475600;13.8075;11.01125
1562479200;10.78625;8.98416666667
1562482800;10.282173913;8.95260869565
1562486400;12.075;10.4295833333
1562490000;12.0595833333;10.3133333333
1562493600;8.81791666667;7.76666666667
1562497200;7.72;6.845
1562500800;6.5384;5.9364
1562504400;5.67625;5.10458333333
1562508000;5.05833333333;4.49208333333
1562511600;5.15541666667;4.20416666667
1562515200;4.5075;3.675
1562518800;6.14;4.82666666667
1562522400;8.02375;6.1575
1562526000;6.58958333333;5.09875
1562529600;6.81208333333;5.31416666667
1562533200;8.96875;6.75458333333
1562536800;9.57583333333;7.34125
1562540400;8.1175;5.9325
1562544000;4.965;3.85
1562547600;3.74125;2.89916666667
1562551200;5.00083333333;3.35
1562554800;5.46958333333;3.70166666667
1562558400;5.1975;3.87916666667
1562562000;5.71652173913;3.90739130435
1562565600;5.04260869565;3.71173913043
1562569200;6.58304347826;3.92608695652
1562572800;4.1164;3.3872
1562576400;5.37083333333;4.29458333333
1562580000;6.43375;4.92083333333
1562583600;6.18416666667;4.61083333333
1562587200;6.56875;4.93291666667
1562590800;6.94541666667;5.505
1562594400;7.7425;6.30666666667
1562598000;7.33625;5.93583333333
1562601600;7.61260869565;5.88913043478
1562605200;7.30590909091;6.13181818182
1562608800;8.30636363636;7.08909090909
1562612400;10.7916666667;8.19708333333
1562616000;9.41958333333;8.05208333333
1562619600;9.1875;7.93875
1562623200;9.6325;7.56208333333
1562626800;10.3391304348;8.34782608696
1562630400;9.0432;7.4648
1562634000;12.3529166667;10.0625
1562637600;12.0520833333;9.745
1562641200;13.5483333333;10.27
1562644800;13.2156;10.3144
1562648400;16.78875;12.5970833333
1562652000;18.0833333333;13.6154166667
1562655600;14.7560869565;11.7408695652
1562659200;14.995;11.515
1562662800;13.6004;10.7968
1562666400;12.2129166667;9.67958333333
1562670000;9.72833333333;7.85583333333
1562673600;7.96833333333;5.94458333333
1562677200;7.13875;5.74791666667
1562680800;7.2052;5.4952
1562684400;5.8975;5.04333333333
